Timestamp,Q1. What is your primary role?,Q2. Years of professional software development experience?,Q3. How long have you been using AI coding tools?,What is your seniority,Q4. For what share of your coding tasks do you use Claude Code (or similar AI coding agents)?,Q5. How often do you still write code entirely without AI assistance?,Q6. Which AI tools do you use as part of your work?,"Q7. On a typical working day, how frequently do you interact with an AI tool?","Q8. How deliberately do you craft prompts for coding tasks (context, constraints, examples)?",Q9. Do you use plan mode (or a plan-then-execute approach) before generating code?,Q10. Do you use to-do lists / task breakdowns to structure AI work on larger tasks?,"Q11. Do you use the same model for every task, or choose per task?","Q12. When you choose models per task, what drives the choice?",Q13. How often do you iterate/refine within a session rather than accepting the first output?,Q14. Do you use Skills?,Q15. Do you use MCP servers / connectors?,Q16. Have you built your own Skills?,Q17. Have you built or configured your own MCP servers?,"Q18. Have you built automations for your day-to-day work (scripts, agents, pipelines driven by AI)?","Q19. Do you have reusable, defined workflows (saved prompts, templates, repeatable processes) for recurring tasks?",Q20. Do you share or standardize AI workflows/skills with your team?,"Q21. Does your team have codified, shared AI standards (golden rules, coding standards, CLAUDE.md / agent config files)?",Q22. Do you use AI tools for research / exploring solutions / understanding a codebase?,Q23. Which AI tools do you use specifically for research?,"Q24. Do you use AI tools for design work (architecture, diagrams, UI/UX, mockups)?",Q25. At which SDLC stages do you use AI?,"Q26. Do you have a clear, defined methodology for incorporating AI into your SDLC?",Q27. How thoroughly do you inspect the code/artifacts AI produces before using them?,"Q28. Do you use tools to review AI-generated output (linters, tests, AI reviewers, static analysis)?","Q29. Do you persist AI-generated designs, plans, decisions, and assumptions in the codebase (e.g. ADRs, design docs, inline rationale)?",Q30. How often does AI-generated code introduce bugs/issues you only catch later?,Q31. I feel in control of the outputs AI generates in my workflow.,Q32. AI tooling is improving my development velocity.,Q33. I actively keep track of AI trends and new tooling.,Q34. How do you feel about the pace of new AI tooling?,"Q35. What is your single biggest blocker to using AI more effectively, and what one workflow or capability has delivered the most value for you?"
06/20/2026 09:12:00,Backend,8–12,1–2 years,Senior 2,75–100%,Tried it,"Claude Code, Cursor, ChatGPT, Claude (chat)",Constantly throughout the day,Regularly,Occasionally,Occasionally,"Mostly one, occasionally switch","Speed, Reasoning depth",Regularly,Occasionally,Occasionally,No,No,Occasionally,Occasionally,No,Informal verbal norms,Regularly,"Claude, ChatGPT",Occasionally,"Coding, Debugging, Research / discovery, Code review",Informal personal habits,Occasionally,Tried it,Tried it,Often,Agree,Strongly agree,Occasionally,Energized,I move fast but rarely read the diff line by line — bugs slip through. Letting Claude Code drive the whole feature loop is the biggest win.
06/20/2026 14:48:00,Backend,4–7,1–2 years,Senior 1,75–100%,Tried it,"Claude Code, GitHub Copilot, ChatGPT",Constantly throughout the day,Occasionally,Tried it,Occasionally,Always the same model,I don't choose per task,Occasionally,Tried it,Never,No,No,Occasionally,Tried it,No,Informal verbal norms,Regularly,"Claude, ChatGPT",Tried it,"Coding, Debugging, Testing",Informal personal habits,Tried it,Occasionally,Never,Often,Neutral,Agree,Occasionally,Neutral,Honestly I trust the output too much and skip a real review. Inline autocomplete and quick refactors save me the most time.
06/21/2026 11:05:00,Frontend,4–7,3–12 months,Senior 1,50–75%,Occasionally,"Cursor, ChatGPT, Claude (chat)",Constantly throughout the day,Occasionally,Occasionally,Tried it,"Mostly one, occasionally switch","Speed, Task type",Regularly,Tried it,Tried it,No,No,Tried it,Occasionally,No,None,Regularly,"ChatGPT, Claude",Regularly,"Coding, Design / architecture, Debugging",Informal personal habits,Occasionally,Tried it,Tried it,Sometimes,Agree,Agree,Occasionally,Energized,"I generate UI fast but don't write tests for it, so regressions show up later. Scaffolding components from a screenshot has been huge."
06/21/2026 16:33:00,Mobile,8–12,1–2 years,Senior 2,50–75%,Tried it,"Claude Code, Cursor, ChatGPT",Constantly throughout the day,Regularly,Occasionally,Occasionally,Always the same model,I don't choose per task,Occasionally,Tried it,Never,No,No,Tried it,Tried it,No,Informal verbal norms,Occasionally,"Claude, ChatGPT",Occasionally,"Coding, Debugging, Documentation",Informal personal habits,Occasionally,Occasionally,Never,Often,Neutral,Agree,Tried it,Mild stress,I stick to one model for everything and probably leave quality on the table. Generating boilerplate for new screens is the standout.
06/22/2026 08:20:00,Backend,8–12,2+ years,Staff,75–100%,Tried it,"Claude Code, ChatGPT, Claude (chat), Cursor",Constantly throughout the day,Regularly,Regularly,Occasionally,"Mostly one, occasionally switch","Reasoning depth, Speed",Regularly,Occasionally,Tried it,No,No,Occasionally,Occasionally,No,Some documented,Regularly,"Claude, Search-augmented tools",Occasionally,"Coding, Research / discovery, Debugging, Code review",Documented personal approach,Occasionally,Occasionally,Tried it,Sometimes,Agree,Strongly agree,Regularly,Energized,Reviewing AI output as carefully as my own is the discipline I keep dropping under deadline. Plan mode on big refactors is what works best.
06/22/2026 19:57:00,DevOps / Platform,4–7,1–2 years,Senior 1,50–75%,Occasionally,"Claude Code, ChatGPT, GitHub Copilot",Hourly,Occasionally,Occasionally,Tried it,Always the same model,I don't choose per task,Occasionally,Tried it,Occasionally,No,No,Occasionally,Tried it,No,None,Regularly,"ChatGPT, Claude, Search-augmented tools",Tried it,"Coding, Deployment / ops, Debugging",Informal personal habits,Tried it,Occasionally,Never,Sometimes,Neutral,Agree,Occasionally,Neutral,Generated infra scripts look right and then bite me in prod. Quick Terraform and pipeline drafts are still a big accelerator.
06/20/2026 10:40:00,Data / ML,8–12,2+ years,Principal,75–100%,Tried it,"Claude Code, Claude (chat), ChatGPT, Cursor",Constantly throughout the day,Core to my workflow,Core to my workflow,Regularly,Deliberately choose per task type,"Task type, Reasoning depth, Context window",Core to my workflow,Regularly,Regularly,Yes,Yes,Regularly,Core to my workflow,Yes,Codified and enforced (e.g. CLAUDE.md in repos),Core to my workflow,"Claude, Perplexity, Search-augmented tools",Regularly,"Research / discovery, Design / architecture, Coding, Testing, Code review, Documentation, Debugging",Team-wide defined methodology,Core to my workflow,Core to my workflow,Regularly,Rarely,Strongly agree,Strongly agree,Core to my workflow,Energized,Keeping the rest of the org at our bar is the blocker now. A shared skill library plus a CLAUDE.md per repo has delivered by far the most value.
06/21/2026 13:18:00,Data / ML,12+,2+ years,Fellow,75–100%,Tried it,"Claude Code, Claude (chat), ChatGPT",Constantly throughout the day,Core to my workflow,Core to my workflow,Core to my workflow,Deliberately choose per task type,"Reasoning depth, Context window, Cost",Core to my workflow,Core to my workflow,Core to my workflow,Yes,Yes,Core to my workflow,Core to my workflow,Yes,Codified and enforced (e.g. CLAUDE.md in repos),Core to my workflow,"Claude, Perplexity",Regularly,"Research / discovery, Design / architecture, Coding, Testing, Code review, Documentation, Debugging, Deployment / ops",Team-wide defined methodology,Core to my workflow,Core to my workflow,Core to my workflow,Rarely,Strongly agree,Strongly agree,Core to my workflow,Energized,Almost nothing blocks me now. Building MCP servers that expose our internal tools to agents has been transformative for the team.
06/23/2026 09:02:00,Data / ML,4–7,1–2 years,Staff,75–100%,Tried it,"Claude Code, ChatGPT, Cursor",Constantly throughout the day,Regularly,Core to my workflow,Regularly,Deliberately choose per task type,"Task type, Reasoning depth",Core to my workflow,Regularly,Regularly,Yes,No,Regularly,Regularly,Yes,Some documented,Core to my workflow,"Claude, Search-augmented tools",Occasionally,"Research / discovery, Coding, Testing, Code review, Debugging",Documented personal approach,Regularly,Core to my workflow,Regularly,Rarely,Agree,Strongly agree,Regularly,Energized,Getting consistent eval coverage on generated pipelines was hard; building reusable skills for it fixed most of that.
06/23/2026 15:44:00,Data / ML,8–12,1–2 years,Senior 2,50–75%,Occasionally,"Claude Code, Claude (chat), ChatGPT",Constantly throughout the day,Regularly,Regularly,Regularly,Deliberately choose per task type,"Reasoning depth, Cost",Regularly,Regularly,Occasionally,Yes,No,Regularly,Regularly,Yes,Some documented,Regularly,"Claude, Perplexity",Occasionally,"Research / discovery, Coding, Testing, Documentation, Debugging",Documented personal approach,Regularly,Regularly,Occasionally,Rarely,Agree,Agree,Regularly,Energized,Onboarding teammates onto our workflows is the blocker. Saved prompt templates for data validation tasks save me hours each week.
